country,variable,coef,se
FRA,dexpgdp,-0.5475588629576578,0.1452678435612653
FRA,diy,0.18886209252650588,0.2780020857105727
FRA,l_lrgdpmad,-0.17974419741221936,0.11264699245755334
FRA,l_lcpi,0.10558676133814515,0.0757192695929212
FRA,l_open,0.2329603928301367,0.10137562233036983
FRA,l_iy,0.7450749235758849,0.2700287260261545
FRA,mod,-0.026147908433159728,0.008335159770673835
FRA,dlenprmod,-0.045077318780613496,0.03466617042312132
FRA,lrgdpmad_csmean,0.7342691565995665,0.14185022529604588
FRA,lcpi_csmean,-0.19289709805161692,0.22349130767828598
FRA,lenpr_csmean,-0.032828720181441895,0.0603829480424297
FRA,open_csmean,-0.05186703482104349,0.04143123837199139
FRA,expgdp_csmean,-0.3145057524834556,0.25554324913335147
FRA,iy_csmean,-0.23174109135629806,0.2084090674919121
FRA,lrgdpmad_csmean_lag,-0.7586593848068333,0.09686447723074584
FRA,lcpi_csmean_lag,0.1833618429445778,0.28402493327172673
FRA,lenpr_csmean_lag,0.022199424217546948,0.04240514791117312
FRA,open_csmean_lag,-0.030783754260937712,0.04433891627724622
FRA,expgdp_csmean_lag,-0.3983333872874937,0.2601253895148835
FRA,iy_csmean_lag,-0.5517448006321501,0.2842665521486985
FRA,dlenpr,0.06146731846729381,0.03254260377966378
GBR,const,-1.1730575294568553,0.9780661105667882
GBR,l_dlcpi2,0.11740154963104033,0.07268994722126118
GBR,dopen,-0.2809766478029587,0.08534031817716015
GBR,dexpgdp,-0.13488437413207066,0.07597201473706224
GBR,diy,1.179518438818377,0.21276896385999108
GBR,l_lrgdpmad,-0.7380837069240442,0.08291782325332483
GBR,l_lcpi,-0.0927816487309201,0.04365297156291728
GBR,l_open,-0.09462111898631065,0.059844805857102376
GBR,l_iy,0.14989454744943487,0.12938860727101503
GBR,mod,0.021944552863232047,0.01074766185427645
GBR,dlenprmod,0.06002540923122979,0.07758622778061769
GBR,lrgdpmad_csmean,0.41345102331342787,0.18983920931422202
GBR,lcpi_csmean,-0.30107637578657886,0.3578243126235914
GBR,lenpr_csmean,0.01884003908867271,0.09205466576600388
GBR,open_csmean,0.0071360893886094345,0.037392562491264165
GBR,expgdp_csmean,-1.3749260270133163,0.3999148311792869
GBR,iy_csmean,-0.5567302640693015,0.33659352924488584
GBR,lrgdpmad_csmean_lag,0.5276007077345639,0.1751184644397031
GBR,lcpi_csmean_lag,0.28816371219181747,0.37194676624369477
GBR,lenpr_csmean_lag,0.040918836338732945,0.06699822224074443
GBR,open_csmean_lag,-0.03585243661717641,0.037649361661796485
GBR,expgdp_csmean_lag,0.4976191030782502,0.5047913948441045
GBR,iy_csmean_lag,-0.9019194378327029,0.3310936924757226
GBR,dlenpr,0.033676800897978865,0.037486664955416825
IRL,const,-11.392152175641968,4.659088385365113
IRL,l_dlcpi2,0.6441548208754284,0.23866195768157644
IRL,dopen,0.01779450123686388,0.0299422333163266
IRL,dexpgdp,-0.033145037783242515,0.09926492193932654
IRL,diy,0.5377777931333867,0.18709784981911867
IRL,l_lrgdpmad,-0.47996562226239803,0.14943754574907972
IRL,l_lcpi,0.25838388606098306,0.16902758562314893
IRL,l_open,-0.021003596325385843,0.023076251505855412
IRL,l_iy,0.6830623517971617,0.25633497841539393
IRL,mod,-0.01489526182385248,0.01989639784874004
IRL,dlenprmod,-0.31508086644544164,0.14279348447998877
IRL,lrgdpmad_csmean,4.226616489415392,0.9056318888073929
IRL,lcpi_csmean,-0.3943660622335301,0.8025282212036775
IRL,lenpr_csmean,-0.023131056475335754,0.20241151403362012
IRL,open_csmean,-0.04961923844894045,0.3873559103020778
IRL,expgdp_csmean,2.5751611597552255,1.1646903861913016
IRL,iy_csmean,-4.1107922226428855,1.174940549950693
IRL,lrgdpmad_csmean_lag,-2.2871081442272043,0.5952855190258989
IRL,lcpi_csmean_lag,-0.2866853779341909,1.059253417827323
